Organism_Name,Month,FY,Total_Specimens,CO_Specimens,HO_Specimens,Mon_Pop,Mon_Total_Pop_Rate,Mon_HO_Pop_Rate,Mon_Adm,Mon_Total_Adm_Rate,Mon_HO_Adm_Rate
Klebsiella sp bacteraemia,Feb,2023/24,57,41,16,242748.80002,23.48,6.59,37431,1.52,0.43
MRSA bacteraemia,Feb,2023/24,5,5,0,242748.80002,2.06,0.0,37431,0.13,0.0
MSSA bacteraemia,Feb,2023/24,49,26,23,242748.80002,20.19,9.47,37431,1.31,0.61
P. aeruginosa bacteraemia,Feb,2023/24,5,4,1,242748.80002,2.06,0.41,37431,0.13,0.03
S. aureus bacteraemia,Feb,2023/24,54,31,23,242748.80002,22.25,9.47,37431,1.44,0.61
C. difficile,Feb,2024/25,84,41,43,250731.46447,33.5,17.15,35411,2.37,1.21
E. coli bacteraemia,Feb,2024/25,178,129,49,250731.46447,70.99,19.54,35411,5.03,1.38
Gram negative bacteraemia,Feb,2024/25,234,168,66,250731.46447,93.33,26.32,35411,6.61,1.86
Klebsiella sp bacteraemia,Feb,2024/25,44,32,12,250731.46447,17.55,4.79,35411,1.24,0.34
MRSA bacteraemia,Feb,2024/25,11,4,7,250731.46447,4.39,2.79,35411,0.31,0.2
MSSA bacteraemia,Feb,2024/25,67,41,26,250731.46447,26.72,10.37,35411,1.89,0.73
P. aeruginosa bacteraemia,Feb,2024/25,12,7,5,250731.46447,4.79,1.99,35411,0.34,0.14
S. aureus bacteraemia,Feb,2024/25,78,45,33,250731.46447,31.11,13.16,35411,2.2,0.93
C. difficile,Jan,2020/21,56,23,33,269197.71508,20.8,12.26,27268,2.05,1.21
E. coli bacteraemia,Jan,2020/21,145,104,41,269197.71508,53.86,15.23,27268,5.32,1.5
Gram negative bacteraemia,Jan,2020/21,225,132,93,269197.71508,83.58,34.55,27268,8.25,3.41
Klebsiella sp bacteraemia,Jan,2020/21,70,22,48,269197.71508,26.0,17.83,27268,2.57,1.76
MRSA bacteraemia,Jan,2020/21,5,2,3,269197.71508,1.86,1.11,27268,0.18,0.11
MSSA bacteraemia,Jan,2020/21,70,37,33,269197.71508,26.0,12.26,27268,2.57,1.21
P. aeruginosa bacteraemia,Jan,2020/21,10,6,4,269197.71508,3.71,1.49,27268,0.37,0.15
